83,60,58
83,63,57
84,62,57
86,60,57
86,61,58
85,62,59
85,63,61
85,60,65
85,62,63
85,62,61
86,63,60
84,61,64
85,61,65
86,62,62
88,58,64
87,58,66
85,61,64
85,62,65
85,64,63
85,66,62
84,64,66
86,65,63
87,63,65
86,63,63
85,61,68
87,61,65
88,62,63
88,65,62
85,66,61
85,65,61
84,64,63
85,60,67
84,61,67
84,62,67
85,61,66
83,62,67
84,62,64
81,61,69
81,62,68
83,64,63
83,62,65
83,62,64
83,63,62
82,62,63
76,61,54
77,60,55
77,61,56
79,61,55
77,59,61
80,59,58
80,58,59
81,58,59
79,61,60
82,60,58
82,60,57
82,61,55
80,62,55
82,62,53
83,64,50
83,63,52
82,60,57
82,58,61
84,60,58
84,62,56
83,61,60
83,62,58
84,62,58
84,64,59
86,61,60
87,61,59
87,64,57
86,64,59
84,63,62
84,64,61
86,64,58
87,63,58
87,61,61
86,61,62
87,62,62
86,64,58
86,63,63
86,60,67
87,60,69
86,63,65
87,64,63
86,65,62
85,63,67
84,60,71
86,63,67
87,62,66
89,63,63
86,63,63
84,60,67
84,62,64
84,62,64
85,62,64
86,62,64
85,63,63
84,63,65
84,61,67
84,61,65
82,61,67
82,62,66
83,63,62
84,62,62
82,63,64
